FILE_ID,IS_FAMILY_MEMBER
6f9130a30f33559eeca4955f3f8bd335,NO
39495255e89a5479e409ab0f7737421d,NO
67bb5bfdba07766b41abed9b07863461,NO
7c012b67f65b443cbd68d83c46d0830c,NO
edc65ed7286d067b3eb7d5b84d0df332,NO
99dd5ec9c1f02494b665e75ad022eb89,YES
deb01ec5e50d86046106faa0960be190,YES
15923d417f7824beb47478dbfce62c37,YES
3526a9f1248cc4072f39f24e373c95e2,NO
0b84c74a806ff8869911a098eca059e6,NO
a36ba3aab275cc64cbf92d7ef41dc72c,NO
0be9d671c4c7d4bbb78c01a77c72aa7a,NO
3e2d1e61feddc2d31a05d6f81fbf8a51,YES
2514ef36dfe24725af1d0af941c52114,NO
179eded3bbc40f048d620d92e09be2d0,YES
a4a315386af952a9f1a6b4d1d5b7f58f,NO
a89c8f7fd3f391c33802449e4ae12f79,YES
a1b04e5dcabdc1db0335adc1f39c3083,NO
b0acb4a0b88ca8479508828f67515315,YES
b3091d704f5c3fa04db2a87dabb23b69,NO
0e952a22d84385516775c469e790cc22,YES
4146220cea396f68d28dc8af81b75eb4,NO
c6cac87de24695a9b4785ad941d939b0,NO
e336a2e2db7af8501c1c14c53ce8cb22,NO
822f3fa2bc4c0290ffb23f284080209a,YES
1770d7c06231a3d4ac5455a87b59cf68,NO
1fb1c826250693912e77679d835afb66,YES
197357854590684ef369f99b1cd2bec8,NO
c5d930f8d3470fd668f5079ec0ae2515,YES
2a3a0a7475b60c9b4783f7eb5d7e020f,YES
2abb900bb506ad19cead8521e12842ce,NO
ceaf718e54584ac0338e03d4c2491c15,YES
c8aaf465bc203775e370a58d48fc198b,NO
94b05b12a763087e55243fe3ac96be2c,YES
8d6149e2f5fb2afa651d622677fb07c1,YES
c48572bea7603c072309641b82b191d3,YES
a156217377d01a3b417e5538ddf61103,YES
e0fb1c9b39b943b9ad498d4b659edb43,NO
782e228c41f7e209d0f9ceed20885294,YES
911cd46281dfdbb769e1bd90835b6eba,YES
f2ba019477d794275fc6baff2bda0317,YES
6b44d7b5ec2048bfdfcba5d85ddbff8f,NO
17ad2534232614a3cb54c5d263dd5e8b,YES
6f910101090a0cb00c1775d007b13d06,NO
b9a95a04b9c27c6ada098cfa045c31e5,NO
a15938bc5f5925ae3c4c58b158d18303,NO
1b04f24f763ed396954f75cc483780ab,NO
10caa36ab2c1a3765b8e2637f9b9f554,NO
2aa636009d67f176567b5b63b01d720f,NO
65db7b922de642ca1521a34ed94b7e4a,YES
7c43f7a5884c083561035ee0fce10cbd,NO
7dd776fcdaea255ff51ae67a4cb08090,YES
2e9783f7c430779c56dec20716fccc38,YES
ca8a6b0db5bec1e2bcc83842774a8fd6,NO
9ed1ab178926fcb37983c9aabc57bee5,NO
cecc970bd40c26a459b18a5be6e2adb8,NO
a16c13478a6f7a2cbcba2dceaaca1135,YES
1da575b42a07e9430d018932b0cb8d92,YES
88abf4d3733197ac0abe6f849860d542,NO
805a13d4bd4585aa6f8236fef22c6750,NO
31c2df09b7925837c2c265e79a926695,YES
1763070735b0333b5ce1235f3d889369,YES
4c16da54e257b33ebec7972884167648,YES
a1f7b03b1c9244737841ab9da18fec25,YES
540b661d93698681255371bd93e2d740,YES
079a4db8fab93c92a84bc309d26a99e0,YES
18143c505991246ccd5f02a613b7fecf,YES
ac33a8da1cdfe47d545e8b447747657c,YES
d3886be455d955373ade864b31eb7959,YES
6340f85f0f80e8646356410cd9f4c916,YES
14c3b5fafb3f899ec47d170009600144,YES
257c183abca4d39f560d219682ecc612,NO
3b99eba9f4dcdfa218be836928287616,NO
